"band";"importance";"glass"
"G2035";0,137882064892967;"Glass"
"G1838";0,137793210800975;"Glass"
"G973";0,137761050366914;"Glass"
"G890";0,137678561275013;"Glass"
"B1218";0,137567750007715;"Brown"
"G1497";0,137536724722932;"Glass"
"G1478";0,137484408402319;"Glass"
"G941";0,137483078183885;"Glass"
"B1102";0,137015851129184;"Brown"
"G1985";0,136634313210506;"Glass"
"G1285";0,136579851969381;"Glass"
"G1425";0,136538845044406;"Glass"
"G602";0,136497465974885;"Glass"
"G1088";0,136350537633292;"Glass"
"B1058";0,136283706422028;"Brown"
"B1223";0,136181317957013;"Brown"
"G1954";0,135812430013047;"Glass"
"G1892";0,135666913478678;"Glass"
"G1392";0,135485366584016;"Glass"
"B1314";0,135477159736521;"Brown"
"B660";0,135392633678841;"Brown"
"G1746";0,135268737195;"Glass"
"B1768";0,135122783174957;"Brown"
"G1935";0,135059890546669;"Glass"
"G1689";0,13412855824736;"Glass"
"B1281";0,134089564796745;"Brown"
"B1376";0,133826563970505;"Brown"
"G1517";0,133784946071405;"Glass"
"G1618";0,133225250955108;"Glass"
"B576";0,132636516699675;"Brown"
"G1707";0,132610219700061;"Glass"
"B1817";0,132530958512793;"Brown"
"G1315";0,132240226314709;"Glass"
"G1086";0,132186792328898;"Glass"
"G1656";0,132008627034211;"Glass"
"B1249";0,131880357637281;"Brown"
"B941";0,13185044081416;"Brown"
"G1150";0,131648868494766;"Glass"
"B1240";0,131455333769158;"Brown"
"G1484";0,131050672304171;"Glass"
"B1284";0,130893568128641;"Brown"
"G1447";0,130753446226976;"Glass"
"G2071";0,13073684525425;"Glass"
"B1769";0,130719105385358;"Brown"
"G669";0,130537702253742;"Glass"
"G1307";0,130458648063558;"Glass"
"G1046";0,130350330656267;"Glass"
"G1359";0,130197289955457;"Glass"
"G1085";0,129924974106701;"Glass"
"B1079";0,129886185582315;"Brown"
"G818";0,129785018233799;"Glass"
"B1486";0,129254966436475;"Brown"
"B712";0,12868127604703;"Brown"
"G1764";0,128358683812078;"Glass"
"G1734";0,128304522473075;"Glass"
"B1804";0,128271623966426;"Brown"
"B1230";0,128114290278053;"Brown"
"B1781";0,128103377927439;"Brown"
"G1579";0,127830088119735;"Glass"
"G1856";0,127783025692063;"Glass"
"B793";0,127722409267237;"Brown"
"B1430";0,127696679258669;"Brown"
"B672";0,127061314782879;"Brown"
"B1375";0,127044107764318;"Brown"
"G684";0,126906350999811;"Glass"
"G1700";0,126879233238505;"Glass"
"B1014";0,126776020815236;"Brown"
"G667";0,126656781695422;"Glass"
"G791";0,12654171800469;"Glass"
"G1079";0,126357318269366;"Glass"
"B2038";0,126319026815579;"Brown"
"G1492";0,125969504097164;"Glass"
"G638";0,125874520800837;"Glass"
"G1037";0,125701458666892;"Glass"
"B1088";0,125329935626681;"Brown"
"B886";0,125110871648676;"Brown"
"B755";0,124714506219623;"Brown"
"G1869";0,124589572613321;"Glass"
"B1582";0,124210582953872;"Brown"
"G977";0,123322928303083;"Glass"
"B1952";0,123116805017943;"Brown"
"G1099";0,123107899986768;"Glass"
"B1625";0,122750304920957;"Brown"
"G910";0,122621684535883;"Glass"
"G877";0,122555154429488;"Glass"
"B1066";0,12218667224983;"Brown"
"G1530";0,121496540333959;"Glass"
"B1244";0,120819120538259;"Brown"
"G1782";0,120142041398946;"Glass"
"B1788";0,119655539940266;"Brown"
"B1109";0,117326089235055;"Brown"
"G2050";0,117061373245398;"Glass"
"B1589";0,11701628242248;"Brown"
"G1777";0,116867057058196;"Glass"
"G724";0,11684593844948;"Glass"
"G2018";0,116520330244468;"Glass"
"G1855";0,116140053478052;"Glass"
"B1116";0,114901012747878;"Brown"
"G1913";0,113772385402789;"Glass"
"G850";0,113752195116711;"Glass"
"B1247";0,112556360008844;"Brown"
"G752";0,112346253907842;"Glass"
"G1551";0,110869566747616;"Glass"
"G1559";0,109925681636136;"Glass"
